Approach,Metric,Mean,Median,Std
A (Raw -> Bicubic -> Clip),PSNR,22.977008704037253,22.434738720348204,3.060527164325814
A (Raw -> Bicubic -> Clip),SSIM,0.5242756225580468,0.545320877714548,0.1878844111676718
A (Raw -> Bicubic -> Clip),MAE,0.055414093969739044,0.055407507345080376,0.022065112177510927
A (Raw -> Bicubic -> Clip),MSE,0.00634225213634636,0.005708557087928057,0.00614595171768257
B1 (Clip -> Bicubic -> Clip-for-Metric),PSNR,23.069295101767377,22.49811470940233,3.019635205593841
B1 (Clip -> Bicubic -> Clip-for-Metric),SSIM,0.5263721387699516,0.5462951302683254,0.18616926266473474
B1 (Clip -> Bicubic -> Clip-for-Metric),MAE,0.054685470639378765,0.0550465602427721,0.021444033052435193
B1 (Clip -> Bicubic -> Clip-for-Metric),MSE,0.006174457145789347,0.005625855177640915,0.00598652167791653
B2 (Clip -> Bicubic -> Clip),PSNR,23.069295101767377,22.49811470940233,3.019635205593841
B2 (Clip -> Bicubic -> Clip),SSIM,0.5263721387699516,0.5462951302683254,0.18616926266473474
B2 (Clip -> Bicubic -> Clip),MAE,0.054685470639378765,0.0550465602427721,0.021444033052435193
B2 (Clip -> Bicubic -> Clip),MSE,0.006174457145789347,0.005625855177640915,0.00598652167791653
