filename,psnr_ssim,psnr_edge,ssim_ssim,ssim_edge,mae_ssim,mae_edge,mse_ssim,mse_edge,grad_mae_ssim,grad_mae_edge,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000001.npy,31.00747361658357,31.036494453775813,0.8420154452762678,0.8443540590130091,0.020643115043640137,0.02056053653359413,0.0007929624407552183,0.0007876813178882003,0.14702353,0.14501318,0.0290208371922418,0.0023386137367412685,-8.257851004600525e-05,-5.281122867017984e-06,-0.0020103455
000021.npy,30.810346130115857,30.845892002604018,0.8444531540334299,0.8470364180471972,0.018505573272705078,0.01841053180396557,0.0008297846070490777,0.0008230208186432719,0.13685046,0.13551776,0.03554587248816077,0.0025832640137672946,-9.504146873950958e-05,-6.763788405805826e-06,-0.0013327003
000034.npy,23.82159396981116,23.862985901686443,0.5840593932137327,0.582498336406938,0.04121226817369461,0.04108782857656479,0.00414801761507988,0.0041086720302701,0.34034315,0.33943462,0.041391931875281784,-0.0015610568067946362,-0.00012443959712982178,-3.934558480978012e-05,-0.0009085238
000064.npy,27.829809278609268,27.835707597963705,0.8732271755978008,0.8742834634961002,0.0258555319160223,0.02587253972887993,0.0016482349019497633,0.0016459976322948933,0.17411321,0.17330584,0.00589831935443641,0.0010562878982993684,1.700781285762787e-05,-2.2372696548700333e-06,-0.0008073747
000095.npy,34.34927433427564,34.39018005954544,0.8473583993706704,0.8489967911827564,0.013496569357812405,0.013427924364805222,0.0003673436585813761,0.00036389994784258306,0.10074459,0.09917761,0.04090572526980196,0.0016383918120860264,-6.864499300718307e-05,-3.4437107387930155e-06,-0.0015669838
000098.npy,28.51572056047302,28.52617322058141,0.7615219111676141,0.7608520996430517,0.028199078515172005,0.02817469649016857,0.0014074337668716908,0.0014040502719581127,0.19710673,0.19607878,0.0104526601083883,-0.0006698115245624692,-2.4382025003433228e-05,-3.3834949135780334e-06,-0.0010279566
000103.npy,31.461681479454192,31.55494188466493,0.7833013581261635,0.7867476756330579,0.019995521754026413,0.01979757472872734,0.0007142197573557496,0.000699046126101166,0.13012946,0.12772006,0.09326040521073864,0.003446317506894392,-0.00019794702529907227,-1.5173631254583597e-05,-0.0024093986
000122.npy,28.925551762974134,29.025629185933404,0.8656254648583347,0.8676147318289242,0.020311551168560982,0.020088426768779755,0.0012806924059987068,0.0012515177950263023,0.14557418,0.14309986,0.10007742295927002,0.0019892669705895427,-0.0002231243997812271,-2.917461097240448e-05,-0.002474323
000130.npy,23.428052182098153,23.43450977864689,0.7890394658391793,0.785080792494921,0.05145842954516411,0.05154280737042427,0.004541452508419752,0.004534704610705376,0.44835687,0.44826055,0.0064575965487385645,-0.003958673344258257,8.437782526016235e-05,-6.74789771437645e-06,-9.6321106e-05
000146.npy,29.41721168212963,29.443051497571503,0.5412480441493094,0.5423743076885342,0.02626155875623226,0.02620231732726097,0.0011436123168095946,0.00113682821393013,0.179951,0.17835122,0.025839815441873526,0.0011262635392248477,-5.924142897129059e-05,-6.784102879464626e-06,-0.0015997738
000160.npy,29.41950012767763,29.483737004378575,0.8687504628420473,0.8692483750549406,0.024618731811642647,0.024496547877788544,0.0011430098675191402,0.0011262280168011785,0.18250819,0.18116288,0.0642368767009458,0.0004979122128933033,-0.0001221839338541031,-1.6781850717961788e-05,-0.0013453066
000161.npy,29.56460855842254,29.607994239973326,0.8775007036539316,0.8787390788527131,0.023689739406108856,0.023555640131235123,0.0011054500937461853,0.001094461651518941,0.1779493,0.17736971,0.04338568155078448,0.0012383751987814495,-0.00013409927487373352,-1.0988442227244377e-05,-0.00057958066
